customer_id,customer_unique_id,customer_zip_code,customer_city,customer_state,signup_date,gender,age
CUST00001,UNQ00001,258183.0,Phagwara,Maharashtra,2024-11-10,female,-5
CUST00002,UNQ00002,866415.0,North Dumdum,West Bengal,2024-05-20,FEMALE,53
CUST00003,UNQ00003,299501.0, Amaravati ,Odisha,2026-05-18,MALE,23
CUST00004,UNQ00004,770654.0,GORAKHPUR,West Bengal,2025-09-16,FEMALE,57
CUST00005,UNQ00005,521728.0,Buxar,Bihar,2024-09-22,Male,48
CUST00006,UNQ00006,786815.0, Davanagere ,Telangana,2024-03-27,Female,60
CUST00007,UNQ00007,682601.0,BANGALORE,Mizoram,2023-05-29,Male,63
CUST00008,UNQ00008,440387.0,Visakhapatnam,Chhattisgarh,2026-01-10,FEMALE,46
CUST00009,UNQ00009,520038.0,Tirupati,Meghalaya,2023-11-11,Female,44
CUST00010,UNQ00010,479271.0,Kavali,Odisha,2024-12-18,female,50
CUST00011,UNQ00011,735873.0,Gwalior,Kerala,2025-12-07,Female,29
CUST00012,UNQ00012,144425.0,Hospet,Manipur,2024-06-24,female,24
CUST00013,UNQ00013,429838.0,Udupi,Assam,2023-08-06,Female,57
CUST00014,UNQ00014,639249.0, Ulhasnagar ,Meghalaya,2025-10-30,MALE,44
CUST00015,UNQ00015,778855.0,TIRUVOTTIYUR,Haryana,2024-04-03,male,120
CUST00016,UNQ00016,887477.0,Faridabad,Maharashtra,2026-05-14,MALE,51
CUST00017,UNQ00017,853520.0,Mathura,Karnataka,2025-04-15,Male,53
CUST00018,UNQ00018,178143.0,Karnal,Nagaland,2026-03-16,Male,61
CUST00019,UNQ00019,179019.0,Madurai,Telangana,2025-04-14,MALE,150
CUST00020,UNQ00020,193074.0,varanasi,Chhattisgarh,2024-10-12,MALE,20
CUST00021,UNQ00021,698149.0, Tiruvottiyur ,West Bengal,2024-02-24,MALE,59
CUST00022,UNQ00022,822563.0,Durg,Tamil Nadu,2024-03-20,Male,34
CUST00023,UNQ00023,385080.0, Begusarai ,Tripura,2023-10-10,Female,27
CUST00024,UNQ00024,,suryapet,Himachal Pradesh,2024-12-31,FEMALE,21
CUST00025,UNQ00025,970091.0,chapra,Kerala,2024-06-24,MALE,32
CUST00026,UNQ00026,497740.0,Arrah,Madhya Pradesh,2024-07-21,male,33
CUST00027,UNQ00027,253690.0,Ambarnath,Manipur,2024-10-24,male,150
CUST00028,UNQ00028,118703.0,Surat,Meghalaya,2025-06-14,Male,61
CUST00029,UNQ00029,256297.0,Alwar,Telangana,2025-08-08,Female,34
CUST00030,UNQ00030,532789.0,Purnia,Andhra Pradesh,2023-11-28,MALE,46
CUST00031,UNQ00031,172319.0,madanapalle,Meghalaya,2024-03-27,FEMALE,50
CUST00032,UNQ00032,242959.0, Salem ,Manipur,2023-12-01,Male,45
CUST00033,UNQ00033,836991.0,Panchkula,Goa,2024-10-23,Male,19
CUST00034,UNQ00034,627453.0,singrauli,Jharkhand,2023-07-28,FEMALE,57
CUST00035,UNQ00035,803006.0,Rourkela,Sikkim,2025-11-19,Male,64
CUST00036,UNQ00036,982303.0,Panchkula,Madhya Pradesh,,MALE,33
CUST00037,UNQ00037,365904.0,Chandrapur,Gujarat,2025-08-13,FEMALE,40
CUST00038,UNQ00038,418343.0,Kochi,Maharashtra,2023-07-11,FEMALE,39
CUST00039,UNQ00039,375841.0,Bhilwara,Chhattisgarh,2024-10-04,Male,51
CUST00040,UNQ00040,945615.0,,Andhra Pradesh,2026-03-22,MALE,63
CUST00041,UNQ00041,828389.0,Chandigarh,West Bengal,,FEMALE,55
CUST00042,UNQ00042,634569.0,,Meghalaya,2024-08-25,Female,34
CUST00043,UNQ00043,980531.0,Kollam,Punjab,2024-01-18,Female,43
CUST00044,UNQ00044,934046.0,guwahati,Gujarat,2025-05-30,female,-5
CUST00045,UNQ00045,220908.0,Nanded,Tamil Nadu,2025-09-04,female,39
CUST00046,UNQ00046,483838.0,Karawal Nagar,Jharkhand,2023-08-13,Female,44
CUST00047,UNQ00047,356572.0,Morena,Assam,2023-10-14,male,55
CUST00048,UNQ00048,671024.0,Karimnagar,Uttarakhand,2023-11-28,male,120
CUST00049,UNQ00049,676239.0,Kollam,Goa,2026-02-07,male,24
CUST00050,UNQ00050,626558.0,HOWRAH,Mizoram,2024-11-08,female,45
CUST00051,UNQ00051,407557.0,Howrah,Odisha,2025-05-01,MALE,62
CUST00052,UNQ00052,985854.0,Rourkela,Telangana,2025-06-21,FEMALE,53
CUST00053,UNQ00053,142959.0,Saharanpur,Gujarat,2026-02-12,male,42
CUST00054,UNQ00054,995998.0, Guntur ,Punjab,,male,18
CUST00055,UNQ00055,954028.0, Bhalswa Jahangir Pur ,Odisha,2025-08-20,Male,58
CUST00056,UNQ00056,880252.0,Bathinda,Jharkhand,2024-02-12,male,45
CUST00057,UNQ00057,592581.0,Kolhapur,Uttarakhand,2025-12-21,FEMALE,29
CUST00058,UNQ00058,285533.0,,Arunachal Pradesh,2024-05-14,Female,52
CUST00059,UNQ00059,580907.0,Srinagar,Assam,,FEMALE,40
CUST00060,UNQ00060,247510.0,Thane,West Bengal,2025-07-19,Male,65
CUST00061,UNQ00061,621484.0,Ozhukarai,Odisha,2024-08-22,FEMALE,47
CUST00062,UNQ00062,745124.0,Mirzapur,Goa,2025-01-07,FEMALE,52
CUST00063,UNQ00063,981930.0,jorhat,Nagaland,2024-10-31,female,49
CUST00064,UNQ00064,138090.0,Bilaspur,Rajasthan,2026-01-06,MALE,41
CUST00065,UNQ00065,484079.0,Tirupati,Chhattisgarh,2023-09-12,FEMALE,31
CUST00066,UNQ00066,874172.0,Ratlam,Uttar Pradesh,2023-08-15,male,27
CUST00067,UNQ00067,296876.0, Morena ,Kerala,2024-01-05,Male,39
CUST00068,UNQ00068,723109.0,Sri Ganganagar,Maharashtra,2024-12-06,male,46
CUST00069,UNQ00069,679516.0,Rourkela,West Bengal,2025-06-14,male,29
CUST00070,UNQ00070,435276.0, Jamalpur ,Punjab,2024-02-27,Male,40
CUST00071,UNQ00071,384539.0,Jaipur,Jharkhand,2025-05-30,Male,55
CUST00072,UNQ00072,621597.0,Ahmedabad,Andhra Pradesh,2025-03-16,MALE,23
CUST00073,UNQ00073,619130.0,Guntakal,Gujarat,2026-03-30,male,27
CUST00074,UNQ00074,121405.0,thanjavur,Rajasthan,2024-05-11,Female,64
CUST00075,UNQ00075,756313.0,RAJKOT,Punjab,2024-10-01,MALE,24
CUST00076,UNQ00076,961442.0,Indore,Tripura,2025-04-21,Female,53
CUST00077,UNQ00077,167601.0,Nanded,Mizoram,,female,53
CUST00078,UNQ00078,344969.0,Malegaon,Chhattisgarh,2023-09-15,Male,50
CUST00079,UNQ00079,634288.0,Bhagalpur,Bihar,2023-11-17,Female,60
CUST00080,UNQ00080,452545.0,CHANDIGARH,West Bengal,2025-01-09,Female,26
CUST00081,UNQ00081,814029.0,Thoothukudi,Nagaland,2025-03-16,Male,37
CUST00082,UNQ00082,475887.0,Ghaziabad,Punjab,2025-03-01,female,20
CUST00083,UNQ00083,297904.0, Kozhikode ,Mizoram,2024-08-28,FEMALE,25
CUST00084,UNQ00084,,Gaya,Himachal Pradesh,2025-10-05,male,20
CUST00085,UNQ00085,353113.0,Junagadh,Nagaland,2025-05-16,FEMALE,54
CUST00086,UNQ00086,241519.0,,Manipur,2026-04-17,Female,19
CUST00087,UNQ00087,462750.0,Hindupur,Himachal Pradesh,2025-10-19,Male,29
CUST00088,UNQ00088,582561.0,Amritsar,Gujarat,2026-03-23,MALE,60
CUST00089,UNQ00089,211946.0, Thiruvananthapuram ,Bihar,2026-02-06,Male,36
CUST00090,UNQ00090,859553.0,ambattur,Tamil Nadu,2025-05-11,Male,55
CUST00091,UNQ00091,700470.0,Tiruvottiyur,Punjab,2025-03-14,FEMALE,18
CUST00092,UNQ00092,317480.0,rampur,Sikkim,2024-08-13,FEMALE,61
CUST00093,UNQ00093,220857.0,Rampur,Tripura,2024-04-20,Female,58
CUST00094,UNQ00094,575726.0,BHAGALPUR,Tripura,2023-07-11,Male,53
CUST00095,UNQ00095,108540.0,Amritsar,Madhya Pradesh,2023-06-19,FEMALE,47
CUST00096,UNQ00096,117278.0,Vadodara,West Bengal,2023-11-05,Female,60
CUST00097,UNQ00097,682824.0,Morena,Rajasthan,2024-11-08,female,29
CUST00098,UNQ00098,706556.0, Mumbai ,Arunachal Pradesh,2025-12-31,FEMALE,28
CUST00099,UNQ00099,788122.0,Srinagar,Assam,2026-03-27,Female,20
CUST00100,UNQ00100,755482.0,Naihati,Meghalaya,2024-03-25,female,28
CUST00101,UNQ00101,264016.0,Bhind,Uttarakhand,2024-08-23,male,36
CUST00102,UNQ00102,493972.0,Saharanpur,Nagaland,2024-09-22,Male,64
CUST00103,UNQ00103,879437.0,Tadipatri,Telangana,2023-07-17,female,28
CUST00104,UNQ00104,177285.0,Jaunpur,Bihar,2024-03-16,Female,39
CUST00105,UNQ00105,609290.0,,Himachal Pradesh,2024-09-28,FEMALE,61
CUST00106,UNQ00106,366020.0, Jamalpur ,Punjab,2026-05-12,MALE,35
CUST00107,UNQ00107,505945.0, Parbhani ,Chhattisgarh,2024-04-28,male,29
CUST00108,UNQ00108,335099.0,Satna,Mizoram,2024-09-15,Male,36
CUST00109,UNQ00109,849685.0,Morena,Punjab,2023-12-02,MALE,65
CUST00110,UNQ00110,708116.0,katihar,Manipur,2025-09-02,FEMALE,56
CUST00111,UNQ00111,830915.0,Hosur,Meghalaya,2024-02-08,FEMALE,52
CUST00112,UNQ00112,156555.0,Nadiad,Odisha,2024-10-19,female,54
CUST00113,UNQ00113,311956.0,Akola,Odisha,2024-10-16,Female,47
CUST00114,UNQ00114,315168.0,Guntur,Sikkim,2025-08-06,Female,59
CUST00115,UNQ00115,149596.0, Rampur ,Mizoram,2026-03-27,female,-5
CUST00116,UNQ00116,544895.0,Kozhikode,Himachal Pradesh,2026-05-09,Female,34
CUST00117,UNQ00117,325785.0,Vellore,Haryana,2025-10-19,female,36
CUST00118,UNQ00118,580522.0, Guwahati ,Jharkhand,,Male,32
CUST00119,UNQ00119,606273.0, Cuttack ,Jharkhand,2023-08-10,male,60
CUST00120,UNQ00120,318992.0, Farrukhabad ,Tripura,2023-06-06,Male,45
