geolocation_zip_code,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
474583,8.727583,83.291202,Jamnagar,Bihar
549522,33.089109,82.278672,raichur,Odisha
202045,15.611905,83.404144,Srinagar,Chhattisgarh
401102,20.598928,71.861622,Ludhiana,Uttar Pradesh
922422,11.551207,96.618818,Mehsana,Manipur
560224,29.893594,80.848477,Ahmedabad,Odisha
414036,8.263152,91.637013,Jhansi,Mizoram
473995,36.619249,92.753833,Darbhanga,Gujarat
883784,9.069884,96.072664,Karawal Nagar,Kerala
244645,36.032597,96.583572,Dindigul,Andhra Pradesh
147832,31.734103,73.938602,Ambala,Uttar Pradesh
950683,31.73775,76.17416,JAMMU,Uttarakhand
534649,18.265185,82.619264,Medininagar,Manipur
9999999,15.839829,81.860042,Avadi,Tripura
591000,20.397986,71.937672,Morena,Tripura
380546,14.367058,86.078628,Bally,Goa
440103,28.76343,95.209076,Kishanganj,Tripura
972701,10.763264,74.043101,Narasaraopet,Maharashtra
829819,34.519,70.25399,Kottayam,Mizoram
729486,34.531148,70.929815,Bidhannagar,Mizoram
525321,8.826105,76.498337,Aizawl,Meghalaya
364392,18.132277,95.025818,Nagercoil,Tripura
300614,28.417977,73.794036,Moradabad,Nagaland
245816,29.580851,89.14903,Amravati,Gujarat
935325,12.889122,68.844146,Rewa,Chhattisgarh
290751,34.047415,90.786358, Vellore ,Maharashtra
327044,33.0608,87.746178,Moradabad,Odisha
119741,28.187141,68.488159,Bidar,Mizoram
255119,34.219092,95.86926,Gulbarga,Assam
536268,,77.765801,Tirunelveli,Odisha
552395,9.302668,86.826858,Kamarhati,Haryana
286572,13.752078,90.649324,Patna,Goa
734335,25.955092,84.698647,Berhampur,Tamil Nadu
187981,33.588915,80.922716,Guntur,Uttarakhand
908545,14.650808,89.970862,Mau,Goa
100917,13.455928,92.995029,Alappuzha,Tamil Nadu
879056,14.095216,82.639842,Aizawl,Andhra Pradesh
858459,18.209241,93.309764,Sri Ganganagar,Haryana
890485,9.894504,85.090215,Chapra,Maharashtra
871872,29.437962,68.429173, Mahbubnagar ,Telangana
660575,12.22921,80.067084,guwahati,Uttarakhand
959279,8.57456,92.147808,Munger,Meghalaya
126386,14.322556,83.558612,BHAGALPUR,Gujarat
383452,29.743132,71.151886,Davanagere,Telangana
253946,30.483539,89.406342,Gudivada,Uttarakhand
107496,15.185309,81.273771,Bhavnagar,Uttar Pradesh
408886,25.636274,94.699196,Hajipur,Tripura
167279,20.009311,73.981026,Jhansi,Madhya Pradesh
205631,33.793986,88.89515,Satara,Chhattisgarh
839274,16.047177,70.357608,,Gujarat
717403,34.372014,71.47136,Buxar,Himachal Pradesh
124015,22.769506,80.774166,Varanasi,Telangana
768151,25.832926,86.31795,Srinagar,Bihar
554994,21.960941,87.245707,BALLIA,Manipur
-100,28.358683,91.119781,Kadapa,Nagaland
898325,25.134136,95.237223,Gorakhpur,Mizoram
853102,22.302203,68.285157,Hapur,Rajasthan
425329,17.70453,95.097158,uluberia,Meghalaya
9999999,29.117077,90.270782,Akola,Jharkhand
780102,28.473524,86.228797,Deoghar,Himachal Pradesh
393229,15.10176,71.24366,Firozabad,Madhya Pradesh
306573,14.525121,78.119057,Cuttack,Odisha
838929,18.971001,86.041006,Mau,Rajasthan
487557,18.959134,90.533944,Mau,Meghalaya
386643,17.556611,73.530953,Amroha,Uttar Pradesh
306328,27.984377,70.309103,Bilaspur,Tripura
537263,32.381469,74.418234,Yamunanagar,Tripura
388124,8.704881,86.703618,Haldia,Sikkim
0,16.518042,69.555999,mehsana,Sikkim
636136,20.357712,73.473738,Nizamabad,Nagaland
211181,36.033553,76.395892,Durg,Odisha
311245,19.866518,69.781086,Jorhat,Arunachal Pradesh
576370,19.59772,78.965838,Akola,Goa
430668,19.937835,81.163281,Durg,Punjab
398369,8.695899,71.645074,Bettiah,Haryana
882115,30.227876,77.119042,Karawal Nagar,Andhra Pradesh
351322,23.271879,79.8214,Raipur,Andhra Pradesh
162062,15.300789,68.657483,Guna,Sikkim
877104,28.10878,82.801007,Mira-Bhayandar,Sikkim
701845,8.317073,69.240731,Bihar Sharif,Nagaland
215682,21.753089,93.845831,Khandwa,West Bengal
934154,27.653274,73.378515,Gandhinagar,Sikkim
366564,29.056819,68.001892,Bidar,Kerala
988520,29.491644,94.411675,Serampore,Andhra Pradesh
382995,26.546496,74.105292,Sambhal,Tripura
529188,21.632779,71.329543,machilipatnam,Punjab
153380,16.532612,89.890909,Jaipur,Uttar Pradesh
614435,12.581344,74.812707,Guntur,Manipur
332512,16.979778,82.650341,Shimla,Meghalaya
277848,27.23875,87.215791,Udupi,West Bengal
196454,28.021848,92.244318,Amritsar,Rajasthan
537252,27.177614,70.690398,Shimoga,Kerala
562142,21.627452,69.044943,arrah,Andhra Pradesh
360478,23.275249,86.473371,Bongaigaon,Mizoram
249464,16.830849,74.803357, Bihar Sharif ,Assam
641228,20.922264,77.844145,Shahjahanpur,West Bengal
859696,21.720297,73.578696,Bhatpara,Telangana
642501,15.156949,68.601596,Bokaro,Jharkhand
969697,33.859721,96.245326,noida,Haryana
394820,12.986429,71.962667,Mangalore,Tripura
344020,14.089481,82.324919,Kolhapur,Gujarat
569820,25.530123,68.561475,Mumbai,Haryana
