order_id,payment_sequential,payment_type,payment_installments,payment_value
ORD000001,1,debit_card,1,173.41
ORD000002,1,net_banking,1,2330.31
ORD000002,2,net_banking,1,1223.9
ORD000003,1,net_banking,1,1183.51
ORD000004,1,,1,8095.7
ORD000005,1,credit_card,8,9841.33
ORD000006,1,credit_card,2,4467.01
ORD000007,1,debit_card,1,1822.69
ORD000008,1,credit_card,1,8847.57
ORD000009,1,wallet,1,1555.39
ORD000010,1,upi,1,3564.03
ORD000011,1,credit_card,3,7661.85
ORD000012,1,upi,1,9858.72
ORD000013,1,,1,887.91
ORD000014,1,upi,1,6375.23
ORD000015,1,net_banking,1,6803.02
ORD000016,1,debit_card,1,7733.65
ORD000017,1,credit_card,8,1316.14
ORD000018,1,wallet,1,684.07
ORD000019,1,net_banking,1,7856.48
ORD000020,1,credit_card,9,555.3
ORD000020,2,credit_card,2,5314.98
ORD000021,1,credit_card,10,9627.44
ORD000022,1,upi,1,1435.22
ORD000023,1,credit_card,7,2520.64
ORD000024,1,upi,1,2230.57
ORD000025,1,credit_card,3,1361.3
ORD000026,1,upi,1,7086.81
ORD000027,1,debit_card,1,7531.65
ORD000028,1,upi,1,9353.06
ORD000029,1,wallet,1,4050.21
ORD000030,1,upi,-2,1638.9
ORD000030,2,wallet,1,5894.21
ORD000031,1,upi,1,5875.03
ORD000032,1,credit_card,3,9456.56
ORD000033,1,net_banking,1,8948.45
ORD000034,1,credit_card,3,1980.82
ORD000035,1,credit_card,6,3714.4
ORD000036,1,wallet,1,3526.84
ORD000037,1,debit_card,1,5741.13
ORD000038,1,upi,1,4335.86
ORD000039,1,upi,1,8885.62
ORD000040,1,debit_card,1,2726.84
ORD000041,1,upi,1,2764.54
ORD000042,1,wallet,1,2878.7
ORD000043,1,net_banking,1,1810.67
ORD000044,1,debit_card,1,4028.1
ORD000045,1,debit_card,1,5147.22
ORD000046,1,debit_card,1,9389.17
ORD000047,1,credit_card,11,8626.83
ORD000048,1,debit_card,1,4215.9
ORD000049,1,credit_card,10,1513.59
ORD000050,1,upi,1,3976.83
ORD000050,2,credit_card,6,5099.1
ORD000051,1,debit_card,1,96.08
ORD000051,2,upi,1,914.5
ORD000051,3,credit_card,9,2200.03
ORD000052,1,wallet,1,388.84
ORD000053,1, credit_card ,12,1201.61
ORD000054,1,credit_card,1,5881.45
ORD000055,1,net_banking,1,8824.49
ORD000056,1,net_banking,1,2290.92
ORD000057,1,net_banking,1,1907.06
ORD000058,1,credit_card,3,7749.22
ORD000059,1,wallet,1,239.96
ORD000060,1,credit_card,10,8143.39
ORD000061,1,net_banking,1,227.38
ORD000061,2,net_banking,1,85.8
ORD000061,3,debit_card,1,515.97
ORD000062,1,debit_card,1,0.0
ORD000063,1,,1,9887.11
ORD000064,1,net_banking,1,677.97
ORD000065,1,credit_card,10,3691.35
ORD000066,1,debit_card,1,8427.4
ORD000067,1,credit_card,10,4648.22
ORD000068,1,,1,9720.16
ORD000069,1,wallet,1,6792.12
ORD000070,1,upi,1,1492.35
ORD000071,1,net_banking,1,9903.38
ORD000072,1,debit_card,1,1432.1
ORD000073,1,upi,-2,708.07
ORD000074,1,net_banking,1,8696.91
ORD000075,1,wallet,1,8968.39
ORD000076,1,,2,5789.85
ORD000077,1,net_banking,1,7087.82
ORD000078,1,upi,1,6565.5
ORD000079,1,debit_card,1,8614.61
ORD000080,1,debit_card,1,9957.55
ORD000081,1,credit_card,1,0.0
ORD000082,1,upi,1,8935.2
ORD000083,1,net_banking,1,415.46
