product_id,product_category_name,product_name_length,product_description_length,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
PROD00001,fashion,57,1772,7,5088.91,56.0,4.71,32.2
PROD00002,home_decor,75,1944,2,7464.63,55.79,48.93,75.96
PROD00003,pet_supplies,24,1829,4,5749.25,27.38,34.04,43.17
PROD00004,kitchen,48,1404,6,3417.74,5.79,50.34,11.21
PROD00005,fashion,13,1350,1,1642.05,24.13,20.1,
PROD00006,automotive,54,1677,5,5465.29,41.81,24.24,18.37
PROD00007,toys,79,64,2,1616.9,85.57,5.37,40.73
PROD00008,home_decor,17,632,2,7759.93,32.3,52.06,74.16
PROD00009,sports,52,897,1,1259.37,82.14,6.78,60.81
PROD00010,office,44,368,5,708.77,48.43,43.98,29.01
PROD00011,home_decor,58,82,9,7326.64,84.19,44.92,44.15
PROD00012,automotive,20,1591,2,7603.69,98.19,54.14,79.46
PROD00013,fashion,65,795,2,4197.74,93.02,55.85,65.12
PROD00014,toys,61,1100,9,6196.66,67.71,38.79,60.71
PROD00015,books,50,976,4,1359.32,28.15,42.48,68.5
PROD00016,toys,30,1367,4,3919.8,40.07,3.44,30.47
PROD00017,automotive,11,68,4,7738.07,72.0,4.82,75.31
PROD00018,home_decor,58,816,3,1159.29,84.71,50.29,40.34
PROD00019,KITCHEN,22,878,10,9504.83,57.58,37.06,71.56
PROD00020,fashion,21,1266,4,7881.97,51.09,37.16,63.84
PROD00021,pet_supplies,43,357,3,8351.61,29.8,30.04,60.98
PROD00022,kitchen,52,1304,8,2513.77,18.67,29.2,11.19
PROD00023,automotive,62,1739,2,4855.65,58.65,12.76,14.65
PROD00024,sports,12,456,3,7176.69,65.38,53.04,16.15
PROD00025,electronics,14,570,3,3917.89,64.15,43.48,40.53
PROD00026,toys,33,1502,7,1295.71,72.5,25.05,56.08
PROD00027,office,49,769,6,3525.55,57.9,45.56,34.89
PROD00028,automotive,51,473,9,985.82,23.76,40.5,38.31
PROD00029,kitchen,18,1725,7,9625.98,47.31,3.99,15.9
PROD00030,books,24,66,1,5071.74,87.9,30.15,74.86
PROD00031,sports,55,1412,10,8779.61,38.12,3.22,48.46
PROD00032,office,31,965,5,5634.55,80.11,10.31,24.08
PROD00033,home_decor,79,1562,8,1744.62,26.19,11.3,56.79
PROD00034,automotive,33,178,1,3626.53,96.64,54.85,29.36
PROD00035,sports,49,838,6,1974.23,86.09,25.09,31.71
PROD00036,furniture,20,863,6,9440.22,28.51,44.33,39.85
PROD00037,beauty,19,1260,6,9160.01,75.02,54.74,64.12
