review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
REV556851,ORD000001,5,Fast Delivery,Received the product on time.,2026-01-17 08:56:14,2026-01-17 23:56:14
REV737442,ORD000002,4,Very Good,Very satisfied with the purchase.,2026-04-14 04:47:38,2026-04-14 08:47:38
REV372250,ORD000003,3,Highly Recommended,Average product but acceptable.,2024-09-24 19:06:02,2024-09-26 17:06:02
REV996442,ORD000004,2,Not Bad,Very satisfied with the purchase.,2025-07-15 15:15:31,2025-07-18 03:15:31
REV736982,ORD000005,1,Poor Packaging,Packaging could have been better.,2026-01-17 11:28:37,2026-01-20 11:28:37
REV592806,ORD000006,3,Good Value,Customer service was helpful.,2025-04-18 23:50:23,
REV195660,ORD000007,5,Good Value,Received the product on time.,2025-09-11 21:51:20,2025-09-13 17:51:20
REV888696,ORD000008,2,Satisfied,Amazing experience and good quality.,2024-09-06 11:43:57,2024-09-09 09:43:57
REV609438,ORD000009,3,Fast Delivery,Worth the money.,2025-07-24 00:00:36,2025-07-24 04:00:36
REV501235,ORD000010,4,Disappointed,Amazing experience and good quality.,2024-10-02 20:19:22,2024-10-04 20:19:22
REV580659,ORD000011,1,Excellent Product,Received the product on time.,2026-03-29 08:31:55,2026-03-29 16:31:55
REV917479,ORD000012,4,Average Experience,Very satisfied with the purchase.,2024-09-12 14:31:53,2024-09-15 06:31:53
REV394215,ORD000013,4,Disappointed,Received the product on time.,2026-04-21 04:29:28,2026-04-22 09:29:28
REV664430,ORD000014,1,Excellent Product,Packaging could have been better.,2026-04-12 20:00:11,2026-04-14 15:00:11
REV970595,ORD000015,4,Highly Recommended,Amazing experience and good quality.,2025-01-06 20:49:21,2025-01-06 22:49:21
REV867730,ORD000016,3,Excellent Product,Amazing experience and good quality.,2024-09-10 22:02:28,2024-09-11 03:02:28
REV853855,ORD000017,4,Not Bad,The product was damaged when delivered.,2025-06-03 17:55:23,2025-06-03 23:55:23
REV104026,ORD000018,5,Excellent Product,Amazing experience and good quality.,2025-04-12 14:53:21,2025-04-13 17:53:21
REV246887,ORD000019,2,Average Experience,Amazing experience and good quality.,2024-07-12 04:21:19,2024-07-14 04:21:19
REV843934,ORD000020,4,Fast Delivery,Packaging could have been better.,2025-03-05 12:19:53,
REV322350,ORD000021,1,Disappointed,Would definitely buy again.,2026-03-08 05:59:24,2026-03-10 18:59:24
REV627652,ORD000022,5,Highly Recommended,Packaging could have been better.,2025-02-21 20:14:22,2025-02-22 10:14:22
REV126124,ORD000023,2,Satisfied,Amazing experience and good quality.,2025-01-01 13:34:59,2025-01-01 18:34:59
REV549226,ORD000024,2,Not Bad,Packaging could have been better.,2025-03-08 12:03:34,2025-03-09 02:03:34
REV385292,ORD000025,3,Excellent Product,Average product but acceptable.,2024-09-30 11:53:33,2024-10-01 02:53:33
REV666443,ORD000026,4,Disappointed,Customer service was helpful.,2024-12-06 21:55:08,2024-12-08 22:55:08
REV209702,ORD000027,1,Very Good,Amazing experience and good quality.,2025-03-21 16:34:49,2025-03-22 14:34:49
REV252735,ORD000028,5,Excellent Product,Packaging could have been better.,2025-06-26 12:36:05,2025-06-28 09:36:05
REV670091,ORD000029,3,Excellent Product,Packaging could have been better.,2025-12-15 09:48:16,2025-12-15 13:48:16
REV661545,ORD000030,2,Very Good,Amazing experience and good quality.,2024-06-18 17:58:35,2024-06-19 18:58:35
REV941875,ORD000031,5,Good Value,Packaging could have been better.,2026-01-16 02:25:44,2026-01-17 17:25:44
REV692754,ORD000032,4,Good Value,The product was damaged when delivered.,2024-12-03 15:08:16,2024-12-04 07:08:16
REV948542,ORD000033,5,Satisfied,Average product but acceptable.,2025-06-18 20:25:14,2025-06-19 12:25:14
REV561214,ORD000034,5,Disappointed,Very satisfied with the purchase.,2025-05-02 23:25:55,2025-05-04 14:25:55
REV268354,ORD000035,2,Very Good,The product was damaged when delivered.,2026-02-18 11:36:33,2026-02-20 17:36:33
REV167522,ORD000036,3,Very Good,Product quality is excellent and delivery was quick.,2025-03-05 18:00:01,2025-03-08 18:00:01
REV522785,ORD000037,3,average experience,Amazing experience and good quality.,2025-12-07 02:04:04,2025-12-07 11:04:04
REV599302,ORD000038,1,Satisfied,Worth the money.,2025-02-08 23:07:32,2025-02-10 20:07:32
